SALE TYPE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP
PAST SALE,Condo/Co-op,1213 Vine St Unit F,Cincinnati,OH,45202
PAST SALE,Single Family Residential,1120 W Main St,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,30 East Central Pkwy #802,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1202 Main St #9,Cincinnati,OH,45202
PAST SALE,Multi-Family (5+ Unit),1121 Walnut St,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1206 Main St #3,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1307 Republic St #1,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1420 Elm St Unit 1A,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1800 Race St #1802,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,20 W 12th St Unit 203A,Cincinnati,OH,45202
PAST SALE,Other,130 Findlay St,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,33 E Court St,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,19 W Court St #4,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,15 W Fifteenth St Unit B3,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,15 E Court St #3,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,18 E 4th St #801,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,621 Main St Unit 5B,Cincinnati,OH,45202
PAST SALE,Multi-Family (5+ Unit),18 E 13th St,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1150 Vine St #42,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,104 W 9th St Unit 4C,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,111 E 13th St #2,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,33 E Court St #304,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1220 Vine St #11,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,33 E Court St #205,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,26 E 6th St #803,Cincinnati,OH,45202
PAST SALE,Single Family Residential,1437 Pleasant St,Cincinnati,OH,45202
PAST SALE,Multi-Family (5+ Unit),3 W McMicken Ave,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,24 W 15th St,Cincinnati,OH,45202
PAST SALE,Multi-Family (5+ Unit),1525 Republic St,Cincinnati,OH,45202
PAST SALE,Multi-Family (2-4 Unit),1415 Race St,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1501 Vine St #204,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1326 Vine St #1,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1421 Race St #2,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,116 W Fifteenth St #303,Cincinnati,OH,45202
PAST SALE,Single Family Residential,1504 Race St,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1150 Vine St #34,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1326 Vine St #14,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1421 Race St #3,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1328 Republic St #101,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,724 Main St #5,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,14 W Fourteenth St #503,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1307 Republic St #3,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1 Mercer St #402,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1124 Race St Unit 101B,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,104 W 9th St Unit 3C,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1126 Walnut St Unit 4A,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1126 Walnut Ave Unit 4B,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,633 Main St,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1326 Vine St #4,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1150 Vine St #38,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1150 Vine St #33,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1523 Republic St #201,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,915 Vine St #203,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1207 Republic St Unit 101B,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1150 Vine St #39,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,15 W Fourth St,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,27 Mercer St #2,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,4 W 14th St #202,Cincinnati,OH,45202
PAST SALE,Single Family Residential,10 Mercer St,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,417 Vine St #601,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1415 Vine St #301,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,104 W Ninth St Unit 6A,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,15 W 4th St #301,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,33 E Court St #403,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,33 E Court St #405,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1432 Race St #210,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,112 E Thirteenth,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1 Mercer St #302,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,15 W 4th St #302,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1508 Race St Unit 1R,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1428 Republic St #2,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1415 Vine St #205,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1406 Republic St #301,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1523 Republic St #302,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,104 W Ninth St Unit 2A,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1406 Republic St #102,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,11 E Court St #202,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1432 Race St #309,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1420 Elm St Unit 3B,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,116 W Fifteenth St #206,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,11 E Court St #303,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,14 W Fourteenth St #403,Cincinnati,OH,45202
PAST SALE,Single Family Residential,1716 Republic St,Cincinnati,OH,45202
PAST SALE,Single Family Residential,1718 Republic St,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,213 Kemp Aly,Cincinnati,OH,45202
PAST SALE,Single Family Residential,1720 Republic St,Cincinnati,OH,45052
PAST SALE,Condo/Co-op,825 Main St #2,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1328 Republic St #301,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,18 E 4th St #701,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,14 W Fourteenth St #502,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,11 E Court St #203,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,13 W 15th St,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,33 E Court St #201,Cincinnati,OH,45202
PAST SALE,Vacant Land,28 Findlay St,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1213 Vine St Unit I,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,13 W Fifteenth St Unit A5,Cincinnati,OH,45202
PAST SALE,Single Family Residential,15 Mercer St,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1415 Vine St #101,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1331 Vine St #8,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1515 Race St #303,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,911 Race St #3,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1211 Republic St Unit 301C,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,116 W Fifteenth St #201,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,5 W Twelfth St #1,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,26 E Sixth St #402,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1403 Race St #2,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,33 E Court St #303,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,11 E Court St #202,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,33 E Court St #402,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1407 Vine St #401,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,417 Vine St #202,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,14 W Fourteenth St #401,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,112 E 13th St #5,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,15 W Fourth St #504,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1418 Race St #4,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1237 Vine St #4,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,26 W Fifteenth St Unit 6F,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,30 E Central Pkwy #1201,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1232 Vine St #6,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,30 East Central Pkwy #701,Cincinnati,OH,45202
PAST SALE,Multi-Family (2-4 Unit),12 Green St,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,15 W Fourth St #211,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1150 Vine St #41,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,116 W Fifteenth St #204,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,30 East Central Pkwy #502,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,183 Palisades Pointe #3,Cincinnati,OH,45238
PAST SALE,Condo/Co-op,5 W Twelfth St #2,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1338 Vine St Unit C,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,33 E Court St #404,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1232 Vine St #9,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,26 E Sixth St #303,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,915 Vine St #202,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1150 Vine St #35,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,15 W 4th St #509,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1509 Race St #305,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1201 Vine St Unit D,Cincinnati,OH,45202
PAST SALE,Single Family Residential,1406 Pleasant St,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,116 W 15th St #305,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,26 W Fifteenth St Unit 1F,Cincinnati,OH,45202
PAST SALE,Multi-Family (2-4 Unit),1717 Vine St,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1418 Race St,Cincinnati,OH,45202
PAST SALE,Townhouse,1223 Jackson St #1,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1403 Vine St #2,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,15 W Fourth St #415,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1501 Vine St #302,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,30 E Central Pkwy #1203,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1202 Main St #12,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,33 E Thirteenth St #401,Cincinnati,OH,45202
