SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,SQUARE FEET,LOT SIZE
PAST SALE,March-9-2023,Condo/Co-op,1213 Vine St Unit F,Cincinnati,OH,45202,185000,1,1,588,14414
PAST SALE,November-30-2021,Single Family Residential,1120 W Main St,Loveland,OH,45202,179900,2,1,925,6752
PAST SALE,,Condo/Co-op,30 East Central Pkwy #802,Cincinnati,OH,45202,420000,2,2,1227,
PAST SALE,March-15-2023,Condo/Co-op,1202 Main St #9,Cincinnati,OH,45202,191000,1,1,573,169840440
PAST SALE,,Multi-Family (5+ Unit),1121 Walnut St,Cincinnati,OH,45202,800000,,,,1568
PAST SALE,March-20-2023,Condo/Co-op,1206 Main St #3,Cincinnati,OH,45202,320000,1,1,1332,2043
PAST SALE,,Condo/Co-op,1307 Republic St #1,Cincinnati,OH,45202,290000,,1.5,1167,
PAST SALE,October-7-2021,Condo/Co-op,1420 Elm St Unit 1A,Cincinnati,OH,45202,270000,1,1.5,636,
PAST SALE,November-27-2019,Condo/Co-op,1800 Race St #1802,Cincinnati,OH,45202,275000,1,1,,
PAST SALE,,Condo/Co-op,20 W 12th St Unit 203A,Cincinnati,OH,45202,295000,1,1,1176,
PAST SALE,,Other,130 Findlay St,Cincinnati,OH,45202,100000,,,,2526
PAST SALE,September-7-2023,Condo/Co-op,33 E Court St,Cincinnati,OH,45202,375000,2,2,998,1263
PAST SALE,,Condo/Co-op,19 W Court St #4,Cincinnati,OH,45202,312500,1,1,1654,
PAST SALE,March-31-2022,Condo/Co-op,15 W Fifteenth St Unit B3,Cincinnati,OH,45202,270000,2,1.5,,
PAST SALE,,Condo/Co-op,15 E Court St #3,Cincinnati,OH,45202,245000,1,1,981,
PAST SALE,,Condo/Co-op,18 E 4th St #801,Cincinnati,OH,45202,397500,2,2,1929,
PAST SALE,,Condo/Co-op,621 Main St Unit 5B,Cincinnati,OH,45202,463500,2,2.5,1631,
PAST SALE,,Multi-Family (5+ Unit),18 E 13th St,Cincinnati,OH,45202,350000,,,,1525
PAST SALE,,Condo/Co-op,1150 Vine St #42,Cincinnati,OH,45202,307000,2,1,1010,
PAST SALE,November-2-2023,Condo/Co-op,104 W 9th St Unit 4C,Cincinnati,OH,45202,275000,2,1.5,1186,4522
PAST SALE,,Condo/Co-op,111 E 13th St #2,Cincinnati,OH,45202,160000,1,1,710,
PAST SALE,April-3-2023,Condo/Co-op,33 E Court St #304,Cincinnati,OH,45202,393000,2,2,,5091
PAST SALE,,Condo/Co-op,1220 Vine St #11,Cincinnati,OH,45202,437000,1,1,1416,
PAST SALE,March-24-2023,Condo/Co-op,33 E Court St #205,Cincinnati,OH,45202,220000,1,1,529,5091
PAST SALE,,Condo/Co-op,26 E 6th St #803,Cincinnati,OH,45202,675000,2,2,2288,
PAST SALE,,Single Family Residential,1437 Pleasant St,Cincinnati,OH,45202,585000,3,2.5,1866,1664
PAST SALE,,Multi-Family (5+ Unit),3 W McMicken Ave,Cincinnati,OH,45202,165000,,,,2396
PAST SALE,,Condo/Co-op,24 W 15th St,Cincinnati,OH,45202,265000,,1,653,
PAST SALE,,Multi-Family (5+ Unit),1525 Republic St,Cincinnati,OH,45202,245000,,,,1525
PAST SALE,,Multi-Family (2-4 Unit),1415 Race St,Cincinnati,OH,45202,490000,3,2.5,3553,1307
PAST SALE,September-29-2021,Condo/Co-op,1501 Vine St #204,Cincinnati,OH,45202,235000,1,1,703,
PAST SALE,September-29-2023,Condo/Co-op,1326 Vine St #1,Cincinnati,OH,45202,275900,1,1,,15686
PAST SALE,October-23-2023,Condo/Co-op,1421 Race St #2,Cincinnati,OH,45202,275000,1,1,808,
PAST SALE,October-31-2019,Condo/Co-op,116 W Fifteenth St #303,Cincinnati,OH,45202,274000,1,1,721,
PAST SALE,February-17-2023,Single Family Residential,1504 Race St,Cincinnati,OH,45202,605000,2,2.5,1990,1176
PAST SALE,October-17-2023,Condo/Co-op,1150 Vine St #34,Cincinnati,OH,45202,335000,1,2,1254,
PAST SALE,August-4-2023,Condo/Co-op,1326 Vine St #14,Cincinnati,OH,45202,450000,2,2,1339,15686
PAST SALE,May-5-2023,Condo/Co-op,1421 Race St #3,Cincinnati,OH,45202,287000,2,1,950,260140320
PAST SALE,December-29-2023,Condo/Co-op,1328 Republic St #101,Cincinnati,OH,45202,392500,2,2,1100,2879
PAST SALE,April-26-2023,Condo/Co-op,724 Main St #5,Cincinnati,OH,45202,280000,2,1.5,1417,5968
PAST SALE,May-4-2023,Condo/Co-op,14 W Fourteenth St #503,Cincinnati,OH,45202,259000,1,1,578,2631
PAST SALE,October-6-2023,Condo/Co-op,1307 Republic St #3,Cincinnati,OH,45202,395000,2,1.5,1218,
PAST SALE,March-15-2024,Condo/Co-op,1 Mercer St #402,Cincinnati,OH,45202,525000,2,2,1107,
PAST SALE,March-10-2023,Condo/Co-op,1124 Race St Unit 101B,Cincinnati,OH,45202,230000,1,1,749,6599
